# Ant nr. 1 total distance.;# Ant nr. 1 total Y distance.
960.579;-58.8708
# Ant nr. 2 total distance.;# Ant nr. 2 total Y distance.
1020.82;-28.359
# Ant nr. 3 total distance.;# Ant nr. 3 total Y distance.
1022.3;-33.9351
# Ant nr. 4 total distance.;# Ant nr. 4 total Y distance.
971.284;25.4145
# Ant nr. 5 total distance.;# Ant nr. 5 total Y distance.
941.743;6.79018
# Ant nr. 6 total distance.;# Ant nr. 6 total Y distance.
947.47;3.39124
# Ant nr. 7 total distance.;# Ant nr. 7 total Y distance.
974.223;-15.3299
# Ant nr. 8 total distance.;# Ant nr. 8 total Y distance.
980.677;-14.1091
# Ant nr. 9 total distance.;# Ant nr. 9 total Y distance.
950.39;36.4547
# Ant nr. 10 total distance.;# Ant nr. 10 total Y distance.
842.364;-79.9027
# Ant nr. 11 total distance.;# Ant nr. 11 total Y distance.
982.239;1.33921
# Ant nr. 12 total distance.;# Ant nr. 12 total Y distance.
831.662;-2.06482
# Ant nr. 13 total distance.;# Ant nr. 13 total Y distance.
916.344;31.3558
# Ant nr. 14 total distance.;# Ant nr. 14 total Y distance.
889.772;-3.29288
# Ant nr. 15 total distance.;# Ant nr. 15 total Y distance.
980.767;10.6954
# Ant nr. 16 total distance.;# Ant nr. 16 total Y distance.
978.307;24.7818
# Ant nr. 17 total distance.;# Ant nr. 17 total Y distance.
850.998;21.0454
# Ant nr. 18 total distance.;# Ant nr. 18 total Y distance.
964.172;23.4333
# Ant nr. 19 total distance.;# Ant nr. 19 total Y distance.
865.34;29.3918
# Ant nr. 20 total distance.;# Ant nr. 20 total Y distance.
954.93;23.2586
